source,date,author,url,pick,team,player,position,school,conference,draft-id
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,29,detroit-lions,Darius Robinson,EDGE,Missouri,SEC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,30,baltimore-ravens,Keon Coleman,WR,Florida St.,ACC,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,31,san-francisco-49ers,Jordan Morgan,OT,Arizona,Pac-12,CBS-1-Garrett Podell
CBS,2024-02-27,Garrett Podell,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-garrett-podell?date=2024-02-27,32,kansas-city-chiefs,Adonai Mitchell,WR,Texas,Big 12,CBS-1-Garrett Podell
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,1,chicago-bears,Caleb Williams,QB,USC,Pac-12,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,2,washington-commanders,Jayden Daniels,QB,LSU,SEC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,3,new-england-patriots,Drake Maye,QB,North Carolina,ACC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,4,arizona-cardinals,Marvin Harrison Jr.,WR,Ohio St.,Big Ten,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,5,los-angeles-chargers,Malik Nabers,WR,LSU,SEC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,6,new-york-giants,Olumuyiwa Fashanu,OT,Penn St.,Big Ten,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,7,tennessee-titans,Joe Alt,OT,Notre Dame,FBS Independent,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,8,atlanta-falcons,Jared Verse,EDGE,Florida St.,ACC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,9,chicago-bears,Dallas Turner,EDGE,Alabama,SEC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,10,new-york-jets,Taliese Fuaga,OT,Oregon St.,Pac-12,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,11,minnesota-vikings,Laiatu Latu,EDGE,UCLA,Pac-12,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,12,denver-broncos,Quinyon Mitchell,CB,Toledo,MAC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,13,las-vegas-raiders,J.J. McCarthy,QB,Michigan,Big Ten,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,14,new-orleans-saints,Byron Murphy,DL,Texas,Big 12,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,15,indianapolis-colts,Terrion Arnold,CB,Alabama,SEC,CBS-2-Kyle Stackpole
CBS,2024-02-27,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-kyle-stackpole?date=2024-02-27,16,seattle-seahawks,Jer'Zhan Newton,DL,Illinois,Big Ten,CBS-2-Kyle Stackpole
